year,Investors_Name,total_investment
2015,"Unitus Seed Fund\nNarayan Ramachandran, Bijou Kurien",500000.0
2015,The HR Fund,500000.0
2015,"Indian Angel Network, Stanford Angels, Entrepreneurs India",500000.0
2015,Dheeraj Jain & Others,500000.0
2015,Sandiep Shrivatsava,500000.0
2015,"Wealth First, Ashneer Grover, Atul Phadnis",500000.0
2015,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",500000.0
2015,"Kae Capital, Anupam Mittal",500000.0
2015,"Accion Venture Labs, Rianta Capital",500000.0
2015,"Powai Lake Ventures, Aneesh Reddy, Ashish Kashyap, Alok Mittal",500000.0
2015,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",490000.0
2015,Subhash Goyal,470000.0
2015,Mirah Hospitality,470000.0
2015,"Hyderabad Angels, M&S Partners",460000.0
2015,"Amit Singhal, PK Gulati & others",450000.0
2015,Oliphans Capital,450000.0
2015,Oswal Techno Ventures LLP,400000.0
2015,Bhavdeep Reddy,400000.0
2015,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",400000.0
2015,Mohandas Pai & others,400000.0
2015,"India Quotient, LetsVenture investors, Lead Angels",400000.0
2015,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",400000.0
2015,Blume Ventures,400000.0
2015,Ajmera Group of Companies,400000.0
2015,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",400000.0
2015,"Ah! Ventures, Calcutta Angels,\xc2\xa0 91SpringBoard",400000.0
2015,"Powai Lake Ventures, Ajeet Khurana & others",395000.0
2015,Riqueza Capital,385000.0
2015,"DeNA Co., Japan & Teruhide Sato (in Addition to MKS Switzerland & Kris GopalKrishnan)",380000.0
2015,"Arihant Patni, Vishal Khare,\xc2\xa0 Viswanath Ramachandran",350000.0
2015,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",350000.0
2015,Uniqorn Ventures,350000.0
2015,S S Mukherji & Others,350000.0
2015,Mumbai Angels & Other angel investors,350000.0
2015,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",350000.0
2015,Group of 15 Angel Investors,350000.0
2015,Cogent E Services,330000.0
2015,"Sumit Jain, Rajat Jain, Sanjay Bhasin",320000.0
2015,Jayant Bokadia,320000.0
2015,"Nanadan Nilekani, InMobi, Paytm",315000.0
2015,"Venkat Vallabhneni, Sudhakar Reddy, Srinivasa Rao Paturi",315000.0
2015,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",310000.0
2015,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",310000.0
2015,"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others",305000.0
2015,Collaborative Licensing Ventures LLP,303000.0
2015,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",300000.0
2015,Group of Angel investors,300000.0
2015,The 1947,300000.0
2015,"Ajay Relan,",300000.0
2015,GHV Accelerator,300000.0
2015,"Manish Singhal, P39 Capital & Others",300000.0
